#,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.17.0-git223552fa74', start_date='2023-05-31T13:52:12', checksum=1029362955, kind='mean', investigation_time=50.0"
lon,lat,PGA-0.1,PGA-0.02,SA(0.025)-0.1,SA(0.025)-0.02,SA(0.05)-0.1,SA(0.05)-0.02,SA(0.1)-0.1,SA(0.1)-0.02,SA(0.2)-0.1,SA(0.2)-0.02,SA(0.5)-0.1,SA(0.5)-0.02,SA(1.0)-0.1,SA(1.0)-0.02,SA(2.0)-0.1,SA(2.0)-0.02
-0.82017,0.61019,3.802176E-02,5.807287E-02,4.018193E-02,6.133884E-02,4.711103E-02,7.168879E-02,7.139619E-02,1.074721E-01,1.017471E-01,1.541754E-01,7.210957E-02,1.131216E-01,4.054214E-02,6.595487E-02,2.008567E-02,3.413741E-02
-0.82016,-0.64886,7.743813E-02,1.187560E-01,8.232097E-02,1.261948E-01,9.877152E-02,1.512308E-01,1.530702E-01,2.326943E-01,1.931596E-01,2.956744E-01,1.166713E-01,1.839577E-01,6.098227E-02,9.952363E-02,2.885083E-02,4.916617E-02
-0.82016,0.70012,3.389723E-02,5.185723E-02,3.575399E-02,5.466679E-02,4.183295E-02,6.376903E-02,6.326730E-02,9.536698E-02,9.169389E-02,1.389670E-01,6.681823E-02,1.048422E-01,3.801706E-02,6.186444E-02,1.897143E-02,3.223193E-02
-0.82016,-0.73879,7.208425E-02,1.108036E-01,7.667685E-02,1.179195E-01,9.172273E-02,1.406214E-01,1.415744E-01,2.155378E-01,1.812729E-01,2.776170E-01,1.109650E-01,1.753045E-01,5.846398E-02,9.541688E-02,2.776958E-02,4.736175E-02
-0.82015,-0.82872,6.614327E-02,1.018007E-01,7.023968E-02,1.079970E-01,8.368693E-02,1.284187E-01,1.288447E-01,1.960825E-01,1.674027E-01,2.563663E-01,1.046627E-01,1.649900E-01,5.551019E-02,9.073606E-02,2.655519E-02,4.529139E-02
-0.82015,-0.91865,6.004060E-02,9.226771E-02,6.360435E-02,9.779117E-02,7.558860E-02,1.159298E-01,1.160362E-01,1.763059E-01,1.533729E-01,2.345523E-01,9.784005E-02,1.543486E-01,5.249471E-02,8.556340E-02,2.523181E-02,4.296726E-02
-0.82014,-1.00859,5.399641E-02,8.293159E-02,5.720844E-02,8.789480E-02,6.780424E-02,1.038179E-01,1.037165E-01,1.572482E-01,1.394121E-01,2.126663E-01,9.118772E-02,1.434116E-01,4.935885E-02,8.049096E-02,2.389734E-02,4.068642E-02
-0.82013,-1.09852,4.833689E-02,7.418415E-02,5.121371E-02,7.859427E-02,6.044272E-02,9.240571E-02,9.213717E-02,1.394853E-01,1.261151E-01,1.920926E-01,8.457865E-02,1.330689E-01,4.637215E-02,7.551207E-02,2.262647E-02,3.846000E-02
-0.82012,-1.18845,4.312814E-02,6.614330E-02,4.564897E-02,6.994156E-02,5.367993E-02,8.201283E-02,8.160294E-02,1.233855E-01,1.138332E-01,1.731275E-01,7.849006E-02,1.231289E-01,4.347606E-02,7.077581E-02,2.134991E-02,3.629566E-02
-0.82011,-1.27838,3.838527E-02,5.883864E-02,4.055071E-02,6.210989E-02,4.756668E-02,7.264227E-02,7.212200E-02,1.089636E-01,1.025938E-01,1.558214E-01,7.253813E-02,1.138827E-01,4.075464E-02,6.633057E-02,2.018163E-02,3.431915E-02
-0.82010,-1.36832,3.409863E-02,5.222848E-02,3.595874E-02,5.506918E-02,4.208032E-02,6.425721E-02,6.364584E-02,9.611774E-02,9.215917E-02,1.398050E-01,6.715183E-02,1.053226E-01,3.819893E-02,6.212942E-02,1.905751E-02,3.236772E-02
-0.82009,-1.45825,3.021693E-02,4.626597E-02,3.184250E-02,4.877065E-02,3.718165E-02,5.678842E-02,5.610356E-02,8.471528E-02,8.269653E-02,1.253865E-01,6.204832E-02,9.727980E-02,3.579795E-02,5.826971E-02,1.801074E-02,3.060588E-02
-0.82008,-1.54818,2.673472E-02,4.094501E-02,2.816629E-02,4.315915E-02,3.282249E-02,5.014607E-02,4.941469E-02,7.462466E-02,7.418505E-02,1.124336E-01,5.736661E-02,9.004821E-02,3.357533E-02,5.460536E-02,1.703858E-02,2.893692E-02
-0.73025,-0.01933,8.755668E-02,1.328750E-01,9.318714E-02,1.413327E-01,1.118761E-01,1.691753E-01,1.733976E-01,2.599260E-01,2.172392E-01,3.298536E-01,1.292570E-01,2.034815E-01,6.709348E-02,1.092593E-01,3.153436E-02,5.373763E-02
-0.73025,0.07060,8.066114E-02,1.224626E-01,8.572715E-02,1.301365E-01,1.027481E-01,1.554569E-01,1.585672E-01,2.377724E-01,2.016158E-01,3.060239E-01,1.219027E-01,1.915276E-01,6.364718E-02,1.038118E-01,3.011983E-02,5.128044E-02
-0.73025,-0.10926,9.384433E-02,1.423487E-01,1.000518E-01,1.517585E-01,1.205891E-01,1.823314E-01,1.872653E-01,2.810272E-01,2.318092E-01,3.523036E-01,1.360487E-01,2.138814E-01,7.008567E-02,1.142752E-01,3.281019E-02,5.592770E-02
-0.73025,0.16053,7.349148E-02,1.116958E-01,7.816566E-02,1.187273E-01,9.314208E-02,1.410149E-01,1.433035E-01,2.149664E-01,1.851105E-01,2.807978E-01,1.140361E-01,1.793863E-01,6.010638E-02,9.778344E-02,2.853821E-02,4.857231E-02
